ticker,threshold,direction,horizon,n_events,mean_fwd_ret_pct,median_fwd_ret_pct,ci_low_pct,ci_high_pct,t_stat,p_value
AGG,1.5,discount,1,36,0.04555514187084121,0.0768072845602652,-0.07178418429778062,0.15818408504075096,0.7453224948573756,0.4610529561071673
AGG,1.5,discount,3,36,0.011887349738001146,0.02528377260636594,-0.13079754078404318,0.17406243860895204,0.14395142039094988,0.8863644982362434
AGG,1.5,discount,5,36,0.054353503018324104,-0.05050299079715215,-0.17335572345235764,0.3083474816526671,0.45839841570687495,0.6494999492126508
AGG,1.5,discount,10,36,-0.11999880367036253,-0.09964970168572784,-0.44527938256958755,0.2197520175939882,-0.7036026368056031,0.48633500857078327
AGG,1.5,discount,20,35,-0.4067773911279336,-0.16023638974448362,-0.8810085085287349,0.08028015769223333,-1.608708695523534,0.116927640597011
HYG,1.5,discount,1,34,-0.00864387234332732,0.024691923165032215,-0.14126050207710203,0.13003405298499182,-0.1245214864171762,0.901657826746482
HYG,1.5,discount,3,34,-0.17116238762724814,-0.08544855386286021,-0.3716472812481987,0.0036712344016752983,-1.6867702800932196,0.10108027204870654
HYG,1.5,discount,5,34,-0.04472547474124831,-0.01910382128240129,-0.28606198871885147,0.18727622285848228,-0.354330358994282,0.7253455493687578
HYG,1.5,discount,10,33,0.21734275163347785,0.03728409102439212,-0.1017613427615838,0.5393964878565661,1.2742223790042146,0.2117610504489402
HYG,1.5,discount,20,32,0.2516293609857022,0.4612109897318306,-0.31760143035367544,0.860336165527718,0.8109277327416626,0.42358960626026676
JNK,1.5,discount,1,35,-0.08719987629657437,-0.054392528654234606,-0.25021955392448686,0.0752659837508606,-1.0628740743003093,0.29533027763369285
JNK,1.5,discount,3,35,-0.1228377146956142,-0.17594420256635823,-0.32455095545038753,0.09005163781350116,-1.180677167083012,0.24592499890360295
JNK,1.5,discount,5,35,0.12445167472162559,-0.042324531396897846,-0.20461206796980164,0.4736240624248114,0.7386466712828692,0.4651902680734835
JNK,1.5,discount,10,35,-0.03992275216289912,-0.08779831940655125,-0.4591318154894876,0.41334062180662934,-0.1751118648444158,0.8620304196899518
JNK,1.5,discount,20,35,-0.06533802051792975,-0.052773669401373624,-0.6756372094194654,0.5760683414748231,-0.19904466733292503,0.8434133551338282
LQD,1.5,discount,1,35,0.05356426115545654,0.01834917728573693,-0.11467229241751069,0.22753098477159153,0.6365837840683434,0.5286588468278096
LQD,1.5,discount,3,35,0.026208878723951327,0.0,-0.2906199718356868,0.34893593333031003,0.16484291753646343,0.8700437959365787
LQD,1.5,discount,5,35,0.09318826174062465,-0.027666493786260293,-0.2838959857899858,0.4767943835329234,0.4879737315980354,0.6287006237278219
LQD,1.5,discount,10,35,0.06912141684535689,0.3482448406891159,-0.4979414116976417,0.617525451085072,0.2303038416039161,0.8192357755687583
LQD,1.5,discount,20,35,-0.14980967545490387,0.11113746024900006,-0.8330393753459974,0.5062401800586441,-0.4176662938081426,0.6788170570051926
TLT,1.5,discount,1,32,0.16154787564632672,-0.07950431002997638,-0.15721739358997888,0.5357681686119344,0.8994727436947738,0.37533509667952314
TLT,1.5,discount,3,32,-0.4241739941499907,-0.6464743801771144,-1.0146012398528723,0.14912536072548652,-1.4077321963187044,0.16915958110552856
TLT,1.5,discount,5,31,-0.4728917295900909,-0.15978017034916636,-1.1906884841153649,0.2659332026830698,-1.2840899978697395,0.20893923591127744
TLT,1.5,discount,10,31,-0.8718121564213847,-0.8307848528310791,-2.0721376923161916,0.30611641427605946,-1.4932752097596582,0.14580883385506405
TLT,1.5,discount,20,31,-0.971982376636539,-1.3036276020424453,-2.3892592372114176,0.6394056871585396,-1.3338210195515197,0.19230102105384225
ALL,1.5,discount,1,172,0.031037086851281887,-0.004726014108535903,-0.05203293521744523,0.1205462260919526,0.689124591508523,0.49167885736839156
ALL,1.5,discount,3,172,-0.12992531198003662,-0.10384029037496245,-0.2862865760048012,0.014083234817928562,-1.7750221374890567,0.07767322498396524
ALL,1.5,discount,5,171,-0.038632665927817736,-0.04129766185760886,-0.22355409546900745,0.1479015863134322,-0.419451976737747,0.6754154131510511
ALL,1.5,discount,10,170,-0.13618746890238342,-0.04769413511581111,-0.4159635975408738,0.14865991480656743,-0.9617192444552305,0.33756464418942195
ALL,1.5,discount,20,168,-0.26099221531379224,-0.11511205657391277,-0.655413294193932,0.10653118886823378,-1.401195880489339,0.16301109746836603
