ticker,date,direction,vix_regime,oas_regime,magnitude_pct,days_to_zero,fwd_ret_5d,hit
AGG,2022-01-20,discount,high,wide,1.3216673357907551,10.0,-0.0005366987932944323,0.0
AGG,2022-03-09,discount,high,tight,1.5416891365769354,9.0,-0.012472492653454292,0.0
AGG,2022-11-25,discount,medium,tight,1.1117966024460346,17.0,0.012749897881753514,1.0
AGG,2023-05-04,discount,medium,tight,1.01960462103196,3.0,-0.00020010275299242597,0.0
AGG,2023-06-13,discount,low,tight,1.5378332281941025,11.0,0.008190039406822391,1.0
AGG,2023-11-24,discount,low,wide,1.0886086987927437,20.0,0.017656335031364545,1.0
AGG,2023-12-07,discount,low,wide,1.013567185281182,12.0,0.015814345440159805,1.0
AGG,2023-12-20,discount,low,wide,1.486456175556674,3.0,0.004748926087764893,1.0
AGG,2024-04-19,discount,medium,wide,0.8342563010715416,10.0,-0.0005241709352376001,0.0
AGG,2024-10-07,discount,medium,wide,0.949696487607134,9.0,-0.0021080011913559016,0.0
AGG,2024-11-14,discount,low,wide,1.078281275293176,4.0,0.0009216214693734681,1.0
AGG,2025-01-03,discount,medium,wide,1.5061499425045068,13.0,-0.009916321750670809,0.0
AGG,2025-08-06,discount,medium,tight,1.066597407593329,7.0,0.0016127775787313503,1.0
AGG,2025-12-12,discount,medium,tight,0.884117592231879,6.0,0.00030055886214452876,1.0
AGG,2026-01-14,discount,medium,tight,0.9139961180483828,5.0,-0.0032885085806930725,0.0
AGG,2026-03-06,discount,high,wide,1.0201902554910938,6.0,-0.00908912941615414,0.0
AGG,2026-04-16,discount,medium,wide,0.8658461502634867,5.0,-0.0003016325661322483,0.0
AGG,2026-05-20,discount,medium,wide,1.0706794984246952,8.0,0.0079413436123279,1.0
AGG,2021-12-13,premium,medium,wide,0.7306672548525943,9.0,-0.002617076066922186,1.0
AGG,2022-02-11,premium,high,tight,1.1546635630317228,4.0,-0.0020889712145918393,1.0
AGG,2022-05-31,premium,high,tight,0.9193098384194138,6.0,-0.008601521012356672,1.0
AGG,2022-08-31,premium,high,tight,1.0358097792562404,20.0,-0.009135122404019147,1.0
AGG,2022-09-09,premium,medium,tight,1.2023220714266627,16.0,-0.00952091561299273,1.0
AGG,2023-03-10,premium,medium,tight,0.7433053205667262,6.0,0.014374591851877838,0.0
AGG,2023-04-03,premium,medium,tight,0.9074418645506032,5.0,-0.0001002017257166754,1.0
AGG,2023-08-30,premium,low,tight,0.5090432669219611,20.0,-0.009621355989461233,1.0
AGG,2024-06-03,premium,low,wide,0.7390993774758581,11.0,-0.0026859723970404925,1.0
AGG,2024-06-11,premium,low,wide,1.0753900994085674,5.0,0.010839221560777101,0.0
AGG,2024-07-31,premium,medium,wide,1.4500898359842769,10.0,0.0024215302420698137,0.0
AGG,2024-12-11,premium,low,wide,0.8026719031969406,11.0,-0.017631020874653403,1.0
AGG,2025-10-14,premium,medium,wide,0.9461725859590576,13.0,0.004465217137203936,0.0
AGG,2026-01-26,premium,medium,wide,0.7229832709283158,12.0,-0.005685215267098753,1.0
AGG,2026-02-25,premium,medium,tight,0.7621431761901623,5.0,-0.005047527034929944,1.0
AGG,2026-05-05,premium,medium,wide,1.0984943774902145,3.0,-0.0014174283123080667,1.0
HYG,2021-11-29,discount,medium,wide,1.031573520789086,19.0,0.00441857271416235,1.0
HYG,2022-06-24,discount,high,tight,0.809853030772705,12.0,-0.014125766866487477,0.0
HYG,2022-08-04,discount,medium,tight,1.104126762849218,6.0,-0.0025497778099398127,0.0
HYG,2022-09-26,discount,high,tight,0.8749896178884028,20.0,0.009680169096841551,1.0
HYG,2022-10-07,discount,high,tight,1.035443420693996,11.0,-0.008458133487529218,0.0
HYG,2023-01-12,discount,medium,tight,1.4820189328960205,8.0,-0.006132583826280791,0.0
HYG,2023-05-26,discount,medium,tight,1.0201121907440789,11.0,0.006754931406050435,1.0
HYG,2023-06-07,discount,low,tight,1.669157341400524,4.0,0.007139953594618387,1.0
HYG,2023-12-29,discount,low,wide,1.184816756053202,19.0,-0.003618022761405104,0.0
HYG,2024-01-09,discount,low,wide,1.441392667211404,13.0,-0.004531996481963119,0.0
HYG,2024-04-11,discount,low,wide,1.424134063808224,7.0,-0.007459852073026463,0.0
HYG,2024-11-08,discount,low,wide,0.6742086223285837,14.0,-0.007142853045438158,0.0
HYG,2024-11-18,discount,medium,wide,0.87410620702413,8.0,0.005165075287171472,1.0
HYG,2025-05-08,discount,medium,wide,0.7364205783945205,12.0,0.010573271733180789,1.0
HYG,2025-05-19,discount,medium,wide,1.5144229039255412,5.0,0.0006299200489787715,1.0
HYG,2026-01-12,discount,medium,tight,0.9873004288797684,2.0,-0.0019743788289953157,0.0
HYG,2026-05-04,discount,medium,wide,0.7682701035207575,20.0,0.0022556428357407565,1.0
HYG,2026-05-26,discount,medium,wide,1.1981422104615551,20.0,-0.0034921274411469083,0.0
HYG,2026-06-03,discount,medium,wide,1.177170858302864,20.0,,
HYG,2021-09-24,premium,medium,tight,1.5473687162955347,12.0,-0.005687634844400602,1.0
HYG,2022-03-18,premium,medium,tight,1.0266446893254342,6.0,-0.014661324395611075,1.0
HYG,2022-04-29,premium,high,wide,1.409656424593965,18.0,-0.01196997906555508,1.0
HYG,2022-12-15,premium,medium,tight,1.322395188730893,5.0,-0.010666707356770888,1.0
HYG,2023-06-28,premium,low,tight,1.1182617566191473,10.0,-0.015084832833669681,1.0
HYG,2023-09-19,premium,low,tight,1.3949518608316334,13.0,-0.011818389259173112,1.0
HYG,2024-03-27,premium,low,wide,0.4251738751611842,4.0,-0.012965367348483747,1.0
HYG,2024-05-13,premium,low,wide,0.7120756396024246,19.0,0.005723236955327726,0.0
HYG,2024-08-27,premium,medium,wide,0.6680667177122884,5.0,-0.00403581398826236,1.0
HYG,2025-03-07,premium,medium,wide,0.8751392550744342,4.0,-0.007174319908351268,1.0
HYG,2025-03-27,premium,medium,wide,0.9234723391211428,4.0,-0.01355459414405813,1.0
HYG,2025-10-20,premium,medium,tight,0.7864794704119685,7.0,0.004945617451316053,0.0
JNK,2021-10-20,discount,medium,wide,1.2874638838008234,12.0,-0.004128103557638152,0.0
JNK,2022-02-02,discount,medium,wide,0.9859074130101416,5.0,-0.009163922859576568,0.0
JNK,2022-06-16,discount,high,tight,0.5455557195243965,20.0,0.016791030873341883,1.0
JNK,2022-06-27,discount,high,tight,0.8558437766899752,17.0,-0.013556013582159188,0.0
JNK,2023-02-27,discount,medium,tight,0.7160247233770403,6.0,0.001201404688561336,1.0
JNK,2023-04-05,discount,medium,tight,0.5258282581123951,17.0,0.012684567532198932,1.0
JNK,2023-04-18,discount,medium,tight,0.9926556466126109,9.0,-0.0005421560223118904,0.0
JNK,2023-09-08,discount,low,tight,1.0496803211201124,20.0,0.0007649403692504553,1.0
JNK,2023-09-20,discount,medium,tight,1.1205200086909648,16.0,-0.013039693332790647,0.0
JNK,2023-09-28,discount,medium,tight,1.2153056628471963,10.0,-0.017466303858562515,0.0
JNK,2024-02-09,discount,low,wide,0.8720825464909692,2.0,-0.005804781548894966,0.0
JNK,2024-02-20,discount,medium,wide,0.911440139155216,7.0,0.0012717544065898867,1.0
JNK,2024-03-15,discount,low,wide,1.299333362703284,7.0,0.007948283119423083,1.0
