ticker,direction,entry_date,exit_date,entry_zscore,exit_zscore,holding_days,position_size,gross_return_pct,net_return_pct,exit_reason
JNK,short,2021-08-31,2021-09-07,2.138052434888917,-1.2894329878359183,4,1.9920334136307132,0.34545204856177847,0.48894868217917115,zero_cross
TLT,long,2021-09-23,2021-10-11,-2.5895862507963483,0.7728140204982146,12,1.0004692708230696,-4.61040463046033,-4.712615085918256,zero_cross
HYG,short,2021-09-24,2021-10-12,2.5430099823496,-0.2336981464040204,12,1.9401099901724133,1.4332864108087318,2.586722285371141,zero_cross
JNK,long,2021-10-20,2021-11-05,-2.0299235920316265,0.1342125056225172,12,1.4782399115849827,0.2660314740338121,0.24543435149606674,zero_cross
LQD,long,2021-10-29,2021-11-29,-2.028965048735734,-0.3278693150275746,20,1.166959211093408,-0.5319085089928843,-0.737411455137548,time_stop
HYG,long,2021-11-29,2021-12-27,-2.1611531047319943,0.2246400714202515,19,1.0626166323383186,1.4534883720930258,1.4382392558625643,zero_cross
AGG,short,2021-12-13,2021-12-27,2.437131583440689,-0.1526005639374892,9,1.1147866044949892,0.32277338048739557,0.248344780405414,zero_cross
TLT,short,2022-01-07,2022-01-13,2.0003408567777488,-0.675874948237511,4,0.9945030699363805,-1.4199383877832705,-1.5115833927646154,zero_cross
AGG,long,2022-01-20,2022-02-03,-3.299307696922692,0.194309409150395,10,1.2393591647155413,-0.4651617033744171,-0.7004383366233301,zero_cross
LQD,long,2022-01-21,2022-02-04,-2.513143676344005,0.2402819821761994,10,0.9930009548149966,-2.6764911649357903,-2.7570583778166418,zero_cross
JNK,long,2022-02-02,2022-02-09,-2.462754498653235,0.0607988788632688,5,1.1782970335771286,-0.9163922859576568,-1.1976120154945835,zero_cross
AGG,short,2022-02-11,2022-02-17,2.2598264541906063,-0.380793560105363,4,0.8277976841873652,0.41780117243215287,0.2630750745713657,zero_cross
JNK,short,2022-02-16,2022-03-10,2.4866144387650766,-0.5387759718200362,15,0.8301251660522809,2.054395493005845,1.6223928831633065,zero_cross
AGG,long,2022-03-09,2022-03-22,-2.7251950202159176,0.8929466395881076,9,0.6599928379771798,-2.1001475571349237,-1.4520816302020376,zero_cross
HYG,short,2022-03-18,2022-03-28,2.326487947269611,-0.28809312885018,6,0.4839450226791767,0.8481727354851087,0.36207447144228266,zero_cross
TLT,short,2022-04-18,2022-04-27,2.60491574356056,-0.4011157238911881,7,0.7372216975339515,-0.5742778220964917,-0.4970922406154713,zero_cross
HYG,short,2022-04-29,2022-05-25,2.1046818883549983,-0.3397770708340564,18,0.5143313137810056,0.1782750437089642,0.040259306067097184,zero_cross
LQD,short,2022-05-02,2022-05-26,2.1530182450873263,-0.897724515883378,18,0.6035200954218656,-2.6952024785148243,-1.686960866556702,zero_cross
JNK,short,2022-05-09,2022-06-01,2.903061596910144,-0.3826088875032933,16,0.45167918493715814,-2.6652604457455764,-1.2490105842733246,zero_cross
AGG,short,2022-05-31,2022-06-08,2.203311957113021,-0.3200158740378339,6,0.6695427933061104,1.2660650846997745,0.7807304739866133,zero_cross
JNK,long,2022-06-16,2022-07-18,-2.0176885465224856,-0.7623432939758745,20,0.26600673029469957,0.9767332778990889,0.23321695259449085,time_stop
HYG,long,2022-06-24,2022-07-13,-2.690210240565524,0.2166215290272222,12,0.2681849204837007,-0.46641587133652296,-0.15190419541509143,zero_cross
TLT,long,2022-07-05,2022-07-15,-2.365362065802233,0.3347307415360352,8,0.62453398354809,-0.5054432882016235,-0.3781199085930142,zero_cross
LQD,long,2022-07-19,2022-07-26,-2.05163906103124,0.0951757737560142,5,0.7862797724934284,1.1584059881977415,0.8322032196058026,zero_cross
HYG,long,2022-08-04,2022-08-12,-2.887516912707995,0.1116329004165108,6,0.4439905140660698,0.6374298628732067,0.23861376109153248,zero_cross
AGG,short,2022-08-31,2022-09-29,2.3574619866912103,1.1026035745514446,20,0.7232310285552234,4.110812657416396,2.900744163565569,time_stop
